CNAME,UF,autoridade,contingencia,homolog,foraPadrao,notas
homnfce.sefaz.am.gov.br,AM,sefaz.nfce,,X,,
nfce.sefaz.am.gov.br,AM,sefaz.nfce,,,,
homnfe.sefaz.am.gov.br,AM,sefaz.nfe,,X,,
nfe.sefaz.am.gov.br,AM,sefaz.nfe,,,,
hnfe.sefaz.ba.gov.br,BA,sefaz.nfe,,X?,,
nfe.sefaz.ba.gov.br,BA,sefaz.nfe,,,,
nfeh.sefaz.ce.gov.br,CE,sefaz.nfe,,X?,,
nfe.sefaz.ce.gov.br,CE,sefaz.nfe,,,,
hom.svc.fazenda.gov.br,fed,fazenda.*?,X,X,,
www.svc.fazenda.gov.br,fed,fazenda.*?,X,,,
hom.sefazvirtual.fazenda.gov.br,fed,fazenda.*?,,X,,
hom.nfe.fazenda.gov.br,fed,fazenda.nfe,,X,,
www.nfe.fazenda.gov.br,fed,fazenda.nfe,,?,,
efinanc.receita.fazenda.gov.br,fed,receita.fazenda.efinanc?,,,,
preprod-efinanc.receita.fazenda.gov.br,fed,receita.fazenda.preprod-efinanc,,,,
homolog.sefaz.go.gov.br,GO,sefaz.*?,,X,X,"Goias tem ""estranhezas"" no ambiente de homologação."
nfe.sefaz.go.gov.br,GO,sefaz.nfe,,,X,
cte.fazenda.mg.gov.br,MG,fazenda.cte,,,,
hcte.fazenda.mg.gov.br,MG,fazenda.cte?,,?,,
hnfe.fazenda.mg.gov.br,MG,fazenda.nfe,,?,,
nfe.fazenda.mg.gov.br,MG,fazenda.nfe,,,,
homologacao.cte.ms.gov.br,MS,?.cte,,X,,
homologacao.nfe.ms.gov.br,MS,?.nfe,,X,,
producao.cte.ms.gov.br,MS,?.cte,,,,
nfe.fazenda.ms.gov.br,MS,fazenda.nfe,,,,
homologacao.sefaz.mt.gov.br,MT,sefaz.*?,,X,,haviam 3 ocorrencias na lista
cte.sefaz.mt.gov.br,MT,sefaz.cte,,,,
nfce.sefaz.mt.gov.br,MT,sefaz.nfce,,,,
nfe.sefaz.mt.gov.br,MT,sefaz.nfe,,,,
nfehomolog.sefaz.pe.gov.br,PE,sefaz.nfe,,X,,
nfe.sefaz.pe.gov.br,PE,sefaz.nfe,,,,
homologacao.cte.fazenda.pr.gov.br,PR,fazenda.cte,,X,,
cte.fazenda.pr.gov.br,PR,fazenda.cte,,,,
homologacao.nfce.fazenda.pr.gov.br,PR,fazenda.nfce,,X,,
nfce.fazenda.pr.gov.br,PR,fazenda.nfce,,,,
homologacao.nfe.fazenda.pr.gov.br,PR,fazenda.nfe,,X,,
nfe.fazenda.pr.gov.br,PR,fazenda.nfe,,,,
nfe-homologacao.svrs.rs.gov.br,RS,?.nfe,,X,,
nfce-homologacao.sefazrs.rs.gov.br,RS,sefaz.nfce,,X,,
nfce.sefazrs.rs.gov.br,RS,sefaz.nfce,,,,
nfe-homologacao.sefazrs.rs.gov.br,RS,sefaz.nfe,,X,,
nfe.sefazrs.rs.gov.br,RS,sefaz.nfe,,,,
cte-homologacao.svrs.rs.gov.br,RS,?.cte,x,X,,
cte.svrs.rs.gov.br,RS,?.cte,x,,,
mdfe-homologacao.svrs.rs.gov,RS,?.mdfe,x,X,,faltou o .br?
mdfe.svrs.rs.gov.br,RS,?.mdfe,x,,,
nfe.svrs.rs.gov.br,RS,?.nfe,x,,,
homologacao.nfce.fazenda.sp.gov.br,SP,fazenda.nfce,,X,,
nfce.fazenda.sp.gov.br,SP,fazenda.nfce,,,,
homologacao.nfe.fazenda.sp.gov.br,SP,fazenda.nfe,,X,,
nfe.fazenda.sp.gov.br,SP,fazenda.nfe,,,,
